Station_Names,Year,Month,Max_Temp,Min_Temp,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,LATITUDE,LONGITUDE,ALT,Flood?,Season,Rainfall_Category,Temperature_Range,Humidity_Rainfall_Index
Satkhira,1959,8,33.4,25.9,430.0,88.0,1.364814815,2.0,4.373333333,22.68,89.07,6,1,Monsoon,High,7.5,37840.0
Sylhet,1959,8,34.3,25.4,600.0,87.0,1.390740741,6.1,4.473076923,24.88,91.93,35,1,Monsoon,Extreme,8.899999999999999,52200.0
Barisal,1959,9,33.8,25.3,608.0,91.0,0.937037037,5.7,4.823404255,22.7,90.36,4,1,Monsoon,Extreme,8.499999999999996,55328.0
Cox's Bazar,1959,9,32.2,24.5,372.0,90.0,2.190740741,7.0,5.873584906,21.46,91.98,4,1,Monsoon,High,7.700000000000003,33480.0
Dinajpur,1959,9,36.7,25.6,119.0,85.0,0.753703704,4.5,5.184,25.63,88.66,37,1,Monsoon,Moderate,11.1,10115.0
Faridpur,1959,9,33.3,24.7,528.0,89.0,1.375925926,6.3,5.14137931,23.61,89.84,9,1,Monsoon,Extreme,8.599999999999998,46992.0
Khulna,1959,9,33.4,25.6,439.0,90.0,1.107407407,6.0,4.906666667,22.8,89.58,4,1,Monsoon,High,7.799999999999997,39510.0
Maijdee Court,1959,9,32.7,25.1,424.0,89.0,1.266666667,6.1,4.951724138,22.83,91.08,6,1,Monsoon,High,7.600000000000001,37736.0
Satkhira,1959,9,33.6,25.6,399.0,90.0,1.140740741,2.3,4.913333333,22.68,89.07,6,1,Monsoon,High,8.0,35910.0
Sylhet,1959,9,34.2,24.6,710.0,87.0,1.175925926,6.1,4.711538462,24.88,91.93,35,1,Monsoon,Extreme,9.6,61770.0
Barisal,1959,10,32.3,24.3,475.0,87.0,0.490740741,4.4,7.0,22.7,90.36,4,1,Post-Monsoon,High,7.9999999999999964,41325.0
Bogra,1959,10,32.2,23.3,633.0,88.0,0.809259259,4.3,7.4,24.88,89.36,20,1,Post-Monsoon,Extreme,8.900000000000002,55704.0
Comilla,1959,10,36.7,23.5,311.0,87.0,0.912962963,4.6,6.839393939,23.48,91.19,10,1,Post-Monsoon,High,13.200000000000005,27057.0
Dhaka,1959,10,32.2,23.3,568.0,89.0,0.714814815,5.4,6.903773585,23.78,90.39,9,0,Post-Monsoon,Extreme,8.900000000000002,50552.0
Dinajpur,1959,10,35.6,22.5,362.0,85.0,0.542592593,3.0,6.916,25.63,88.66,37,1,Post-Monsoon,High,13.1,30770.0
Faridpur,1959,10,31.8,22.7,697.0,88.0,0.862962963,5.0,6.906896552,23.61,89.84,9,1,Post-Monsoon,Extreme,9.1,61336.0
Jessore,1959,10,32.8,23.8,511.0,90.0,1.077777778,5.0,6.574468085,23.17,89.22,7,1,Post-Monsoon,Extreme,8.999999999999996,45990.0
Khulna,1959,10,33.2,24.3,532.0,87.0,0.661111111,3.9,6.9,22.8,89.58,4,1,Post-Monsoon,Extreme,8.900000000000002,46284.0
Mymensingh,1959,10,37.2,22.7,626.0,86.0,0.7,4.4,6.52,24.75,90.41,19,1,Post-Monsoon,Extreme,14.500000000000004,53836.0
Satkhira,1959,10,32.7,24.1,373.0,88.0,0.864814815,2.5,6.62,22.68,89.07,6,1,Post-Monsoon,High,8.600000000000001,32824.0
Dhaka,1959,11,29.7,16.8,0.0,76.0,0.555555556,1.5,7.822641509,23.78,90.39,9,0,Post-Monsoon,Low,12.9,0.0
Dhaka,1959,12,27.4,12.7,0.0,76.0,0.562962963,1.2,7.49245283,23.78,90.39,9,0,Winter,Low,14.7,0.0
Dhaka,1960,1,27.4,10.5,0.0,68.0,1.3,1.3,7.343396226,23.78,90.39,9,0,Winter,Low,16.9,0.0
Dhaka,1960,2,34.3,14.5,0.0,59.0,1.5,0.6,8.130188679,23.78,90.39,9,0,Winter,Low,19.8,0.0
Barisal,1960,5,37.2,26.4,324.0,76.0,1.1,4.2,7.046808511,22.7,90.36,4,1,Pre-Monsoon,High,10.800000000000004,24624.0
Dinajpur,1960,5,37.2,23.4,188.0,60.0,0.4,2.9,6.848,25.63,88.66,37,1,Pre-Monsoon,Moderate,13.800000000000004,11280.0
Maijdee Court,1960,5,35.6,25.6,511.0,80.0,2.7,4.1,6.513793103,22.83,91.08,6,1,Pre-Monsoon,Extreme,10.0,40880.0
Satkhira,1960,5,37.7,26.5,481.0,75.0,1.0,4.0,7.856666667,22.68,89.07,6,1,Pre-Monsoon,High,11.200000000000005,36075.0
Barisal,1960,6,34.4,26.5,433.0,84.0,0.6,5.0,4.072340426,22.7,90.36,4,1,Monsoon,High,7.899999999999999,36372.0
Chittagong (IAP-Patenga),1960,6,35.0,25.7,434.0,85.0,2.8,5.5,4.254716981,22.34,91.79,6,1,Monsoon,High,9.3,36890.0
Comilla,1960,6,35.0,25.8,373.0,84.0,2.1,5.2,4.927272727,23.48,91.19,10,1,Monsoon,High,9.2,31332.0
Cox's Bazar,1960,6,33.8,25.4,644.0,86.0,4.2,6.1,4.033962264,21.46,91.98,4,1,Monsoon,Extreme,8.399999999999999,55384.0
Dinajpur,1960,6,36.1,24.8,219.0,79.0,0.3,4.2,5.228,25.63,88.66,37,1,Monsoon,High,11.3,17301.0
Maijdee Court,1960,6,33.7,25.6,517.0,85.0,1.7,5.0,3.872413793,22.83,91.08,6,1,Monsoon,Extreme,8.100000000000001,43945.0
Rangamati,1960,6,37.7,25.1,419.0,86.0,1.1,5.1,4.381481481,22.67,92.2,63,1,Monsoon,High,12.6,36034.0
Sylhet,1960,6,35.1,24.9,483.0,87.0,0.4,5.9,3.644230769,24.88,91.93,35,1,Monsoon,High,10.200000000000005,42021.0
Barisal,1960,7,32.8,25.5,716.0,89.0,0.4,6.0,3.738297872,22.7,90.36,4,1,Monsoon,Extreme,7.299999999999997,63724.0
Chittagong (IAP-Patenga),1960,7,33.8,25.1,811.0,91.0,3.7,6.9,4.28490566,22.34,91.79,6,1,Monsoon,Extreme,8.699999999999996,73801.0
Comilla,1960,7,34.4,25.2,591.0,88.0,4.0,5.8,4.566666667,23.48,91.19,10,1,Monsoon,Extreme,9.2,52008.0
Cox's Bazar,1960,7,31.6,25.3,705.0,89.0,4.6,7.1,3.724528302,21.46,91.98,4,1,Monsoon,Extreme,6.300000000000001,62745.0
Dinajpur,1960,7,35.0,25.5,573.0,85.0,0.3,5.9,4.288,25.63,88.66,37,1,Monsoon,Extreme,9.5,48705.0
Faridpur,1960,7,33.3,25.4,663.0,87.0,1.3,6.8,4.431034483,23.61,89.84,9,1,Monsoon,Extreme,7.899999999999999,57681.0
Jessore,1960,7,33.4,25.7,546.0,89.0,3.7,6.5,3.972340426,23.17,89.22,7,1,Monsoon,Extreme,7.699999999999999,48594.0
Khulna,1960,7,32.6,25.9,605.0,91.0,1.4,5.9,3.89,22.8,89.58,4,1,Monsoon,Extreme,6.700000000000003,55055.0
Maijdee Court,1960,7,33.3,24.9,845.0,91.0,4.0,6.9,3.575862069,22.83,91.08,6,1,Monsoon,Extreme,8.399999999999999,76895.0
Mymensingh,1960,7,33.3,25.4,384.0,88.0,0.9,6.6,3.691428571,24.75,90.41,19,1,Monsoon,High,7.899999999999999,33792.0
Rangamati,1960,7,34.8,24.6,730.0,90.0,1.2,6.1,3.748148148,22.67,92.2,63,1,Monsoon,Extreme,10.199999999999996,65700.0
Rangpur,1960,7,33.9,25.9,471.0,88.0,1.4,5.8,4.348571429,25.72,89.26,34,1,Monsoon,High,8.0,41448.0
Satkhira,1960,7,33.4,25.8,670.0,87.0,0.7,6.8,3.93,22.68,89.07,6,1,Monsoon,Extreme,7.599999999999998,58290.0
Sylhet,1960,7,34.4,24.8,1118.0,87.0,0.6,7.5,3.719230769,24.88,91.93,35,1,Monsoon,Extreme,9.599999999999998,97266.0
Barisal,1960,8,33.6,26.6,823.0,88.0,0.4,6.2,4.272340426,22.7,90.36,4,1,Monsoon,Extreme,7.0,72424.0
Cox's Bazar,1960,8,31.2,25.0,907.0,90.0,3.9,7.3,4.483018868,21.46,91.98,4,1,Monsoon,Extreme,6.199999999999999,81630.0
Dinajpur,1960,8,35.6,26.1,146.0,84.0,0.2,5.6,5.208,25.63,88.66,37,1,Monsoon,Moderate,9.5,12264.0
Maijdee Court,1960,8,37.7,25.8,508.0,90.0,4.0,6.0,4.64137931,22.83,91.08,6,1,Monsoon,Extreme,11.900000000000002,45720.0
Satkhira,1960,8,36.0,26.5,383.0,89.0,0.3,6.8,4.373333333,22.68,89.07,6,1,Monsoon,High,9.5,34087.0
Barisal,1960,9,34.0,25.9,650.0,88.0,0.3,5.4,4.823404255,22.7,90.36,4,1,Monsoon,Extreme,8.100000000000001,57200.0
Bogra,1960,9,42.6,25.9,406.0,90.0,1.0,6.1,5.447169811,24.88,89.36,20,1,Monsoon,High,16.700000000000003,36540.0
Comilla,1960,9,34.4,24.3,454.0,87.0,2.7,5.4,5.548484848,23.48,91.19,10,1,Monsoon,High,10.099999999999998,39498.0
Dinajpur,1960,9,35.6,24.3,370.0,87.0,0.1,5.1,5.184,25.63,88.66,37,1,Monsoon,High,11.3,32190.0
Maijdee Court,1960,9,33.6,25.5,541.0,89.0,1.2,6.0,4.951724138,22.83,91.08,6,1,Monsoon,Extreme,8.100000000000001,48149.0
Mymensingh,1960,9,34.7,25.6,579.0,88.0,0.6,5.7,4.231428571,24.75,90.41,19,1,Monsoon,Extreme,9.1,50952.0
Rangpur,1960,9,34.4,25.7,488.0,89.0,1.0,5.3,5.2,25.72,89.26,34,1,Monsoon,High,8.7,43432.0
Sylhet,1960,9,34.9,24.8,552.0,86.0,0.5,6.2,4.711538462,24.88,91.93,35,1,Monsoon,Extreme,10.099999999999998,47472.0
Barisal,1960,10,33.8,24.1,316.0,80.0,1.6,2.5,7.0,22.7,90.36,4,1,Post-Monsoon,High,9.699999999999996,25280.0
Dhaka,1960,10,33.4,23.6,38.0,80.0,1.0,3.2,6.903773585,23.78,90.39,9,0,Post-Monsoon,Low,9.799999999999995,3040.0
Dhaka,1960,11,28.9,16.6,24.0,75.0,0.8,2.1,7.822641509,23.78,90.39,9,0,Post-Monsoon,Low,12.299999999999995,1800.0
Dhaka,1960,12,28.7,12.9,0.0,75.0,0.7,1.9,7.49245283,23.78,90.39,9,0,Winter,Low,15.8,0.0
Dhaka,1961,1,29.2,12.4,1.0,71.0,1.0,1.8,8.5,23.78,90.39,9,0,Winter,Low,16.799999999999997,71.0
Dhaka,1961,2,31.7,13.4,12.0,66.0,1.5,2.5,7.7,23.78,90.39,9,0,Winter,Low,18.3,792.0
Barisal,1961,5,36.6,25.5,303.0,81.0,1.2,3.6,7.046808511,22.7,90.36,4,1,Pre-Monsoon,High,11.1,24543.0
Sylhet,1961,5,36.9,23.3,605.0,81.0,1.7,4.9,6.025,24.88,91.93,35,1,Pre-Monsoon,Extreme,13.599999999999998,49005.0
Barisal,1961,6,36.1,25.7,553.0,86.0,0.5,5.9,4.072340426,22.7,90.36,4,1,Monsoon,Extreme,10.400000000000002,47558.0
Chittagong (IAP-Patenga),1961,6,34.4,25.1,948.0,88.0,3.7,6.8,4.5,22.34,91.79,6,1,Monsoon,Extreme,9.299999999999995,83424.0
Comilla,1961,6,36.1,25.2,639.0,85.0,3.3,5.5,4.927272727,23.48,91.19,10,1,Monsoon,Extreme,10.900000000000002,54315.0
Cox's Bazar,1961,6,33.5,25.4,719.0,88.0,3.4,7.1,4.9,21.46,91.98,4,1,Monsoon,Extreme,8.100000000000001,63272.0
Dinajpur,1961,6,37.2,25.6,404.0,83.0,0.4,4.8,5.228,25.63,88.66,37,1,Monsoon,High,11.6,33532.0
Khulna,1961,6,35.4,26.4,411.0,89.0,0.5,5.6,4.546666667,22.8,89.58,4,1,Monsoon,High,9.0,36579.0
Maijdee Court,1961,6,34.3,25.1,654.0,87.0,3.0,6.5,3.872413793,22.83,91.08,6,1,Monsoon,Extreme,9.199999999999996,56898.0
Mymensingh,1961,6,36.9,24.9,456.0,87.0,0.6,5.7,4.02,24.75,90.41,19,1,Monsoon,High,12.0,39672.0
Rangamati,1961,6,35.2,24.5,1081.0,88.0,1.6,5.9,4.381481481,22.67,92.2,63,1,Monsoon,Extreme,10.700000000000005,95128.0
Rangpur,1961,6,36.8,25.2,440.0,86.0,1.3,5.7,4.894285714,25.72,89.26,34,1,Monsoon,High,11.599999999999998,37840.0
Satkhira,1961,6,36.0,26.1,393.0,85.0,0.3,6.7,4.386666667,22.68,89.07,6,1,Monsoon,High,9.9,33405.0
Sylhet,1961,6,35.8,24.6,922.0,87.0,1.5,6.7,3.644230769,24.88,91.93,35,1,Monsoon,Extreme,11.199999999999996,80214.0
Chittagong (IAP-Patenga),1961,7,33.3,25.1,1171.0,91.0,5.0,7.2,4.5,22.34,91.79,6,1,Monsoon,Extreme,8.199999999999996,106561.0
Comilla,1961,7,34.4,25.4,382.0,85.0,2.9,6.2,4.566666667,23.48,91.19,10,1,Monsoon,High,9.0,32470.0
Cox's Bazar,1961,7,31.8,24.7,1387.0,93.0,3.4,7.4,3.5,21.46,91.98,4,1,Monsoon,Extreme,7.100000000000001,128991.0
Dinajpur,1961,7,35.0,26.6,149.0,83.0,0.2,4.8,4.288,25.63,88.66,37,1,Monsoon,Moderate,8.399999999999999,12367.0
Faridpur,1961,7,33.9,25.7,415.0,83.0,1.1,6.2,4.431034483,23.61,89.84,9,1,Monsoon,High,8.2,34445.0
Maijdee Court,1961,7,32.6,25.2,596.0,89.0,2.5,6.7,3.575862069,22.83,91.08,6,1,Monsoon,Extreme,7.400000000000002,53044.0
Rangamati,1961,7,34.3,25.0,857.0,87.0,3.0,5.9,3.748148148,22.67,92.2,63,1,Monsoon,Extreme,9.299999999999995,74559.0
Barisal,1961,8,33.8,26.0,529.0,86.0,0.3,5.5,4.272340426,22.7,90.36,4,1,Monsoon,Extreme,7.799999999999997,45494.0
Bogra,1961,8,34.2,26.3,492.0,89.0,1.0,5.9,5.9,24.88,89.36,20,1,Monsoon,High,7.900000000000002,43788.0
Chittagong (IAP-Patenga),1961,8,34.0,25.3,900.0,89.0,4.6,7.1,6.7,22.34,91.79,6,1,Monsoon,Extreme,8.7,80100.0
Comilla,1961,8,33.9,25.5,577.0,87.0,3.7,6.0,5.233333333,23.48,91.19,10,1,Monsoon,Extreme,8.399999999999999,50199.0
Cox's Bazar,1961,8,31.7,25.1,937.0,92.0,3.5,7.3,4.5,21.46,91.98,4,1,Monsoon,Extreme,6.599999999999998,86204.0
Dinajpur,1961,8,35.0,26.6,192.0,85.0,0.2,5.6,5.208,25.63,88.66,37,1,Monsoon,Moderate,8.399999999999999,16320.0
Jessore,1961,8,34.4,26.3,418.0,86.0,0.9,6.0,4.461702128,23.17,89.22,7,1,Monsoon,High,8.099999999999998,35948.0
Khulna,1961,8,33.2,26.4,412.0,89.0,0.2,5.2,4.363333333,22.8,89.58,4,1,Monsoon,High,6.800000000000004,36668.0
Maijdee Court,1961,8,33.8,25.3,648.0,89.0,2.5,6.7,4.64137931,22.83,91.08,6,1,Monsoon,Extreme,8.499999999999996,57672.0
Rangamati,1961,8,34.1,25.2,660.0,88.0,2.7,6.0,4.744444444,22.67,92.2,63,1,Monsoon,Extreme,8.900000000000002,58080.0
Sylhet,1961,8,35.1,25.4,509.0,86.0,1.3,6.6,4.473076923,24.88,91.93,35,1,Monsoon,Extreme,9.700000000000005,43774.0
Cox's Bazar,1961,9,31.3,24.7,574.0,90.0,3.3,7.0,4.6,21.46,91.98,4,1,Monsoon,Extreme,6.600000000000001,51660.0
Dinajpur,1961,9,35.6,25.9,133.0,82.0,0.1,4.0,5.184,25.63,88.66,37,1,Monsoon,Moderate,9.700000000000005,10906.0
Maijdee Court,1961,9,35.1,24.8,529.0,88.0,2.1,6.3,4.951724138,22.83,91.08,6,1,Monsoon,Extreme,10.3,46552.0
Dhaka,1961,10,32.6,23.7,52.0,84.0,1.0,3.9,7.3,23.78,90.39,9,0,Post-Monsoon,Moderate,8.900000000000002,4368.0
Dhaka,1961,11,30.6,16.4,0.0,76.0,0.7,1.6,9.1,23.78,90.39,9,0,Post-Monsoon,Low,14.200000000000005,0.0
Dhaka,1961,12,31.0,10.3,0.0,77.0,1.3,0.8,9.2,23.78,90.39,9,0,Winter,Low,20.7,0.0
Dhaka,1962,1,29.3,9.5,0.0,70.0,1.2,0.6,9.4,23.78,90.39,9,0,Winter,Low,19.8,0.0
Dhaka,1962,2,31.6,14.0,15.0,66.0,1.1,1.6,9.2,23.78,90.39,9,0,Winter,Low,17.6,990.0
Barisal,1962,6,34.8,25.7,325.0,84.0,1.4,6.5,4.072340426,22.7,90.36,4,1,Monsoon,High,9.099999999999998,27300.0
Chittagong (IAP-Patenga),1962,6,33.6,25.2,714.0,88.0,4.3,6.8,3.9,22.34,91.79,6,1,Monsoon,Extreme,8.400000000000002,62832.0
Comilla,1962,6,34.4,23.9,446.0,87.0,1.9,7.4,4.927272727,23.48,91.19,10,1,Monsoon,High,10.5,38802.0
Cox's Bazar,1962,6,33.2,25.2,1105.0,88.0,4.2,6.9,4.2,21.46,91.98,4,1,Monsoon,Extreme,8.000000000000004,97240.0
Dinajpur,1962,6,35.6,24.9,193.0,81.0,0.3,5.5,5.228,25.63,88.66,37,1,Monsoon,Moderate,10.700000000000005,15633.0
Maijdee Court,1962,6,34.2,25.4,428.0,87.0,2.6,6.9,3.872413793,22.83,91.08,6,1,Monsoon,High,8.800000000000004,37236.0
Mymensingh,1962,6,35.6,25.1,461.0,86.0,0.6,6.3,4.02,24.75,90.41,19,1,Monsoon,High,10.5,39646.0
Rangamati,1962,6,35.8,25.0,542.0,86.0,2.2,6.3,4.381481481,22.67,92.2,63,1,Monsoon,Extreme,10.799999999999995,46612.0
Rangpur,1962,6,35.0,25.1,464.0,87.0,1.2,5.7,4.894285714,25.72,89.26,34,1,Monsoon,High,9.9,40368.0
Satkhira,1962,6,37.4,25.7,330.0,87.0,0.4,6.6,4.386666667,22.68,89.07,6,1,Monsoon,High,11.7,28710.0
Srimangal,1962,6,34.5,24.5,678.0,85.0,0.8,5.0,4.346428571,24.29,91.73,23,1,Monsoon,Extreme,10.0,57630.0
Sylhet,1962,6,34.7,24.8,918.0,89.0,0.7,7.7,3.7,24.88,91.93,35,1,Monsoon,Extreme,9.900000000000002,81702.0
Barisal,1962,7,34.4,26.6,421.0,84.0,1.2,5.7,3.738297872,22.7,90.36,4,1,Monsoon,High,7.799999999999997,35364.0
Chittagong (IAP-Patenga),1962,7,34.1,25.7,511.0,88.0,4.1,6.3,7.0,22.34,91.79,6,1,Monsoon,Extreme,8.400000000000002,44968.0
Comilla,1962,7,36.7,24.8,456.0,87.0,2.1,6.9,4.566666667,23.48,91.19,10,1,Monsoon,High,11.900000000000002,39672.0
Cox's Bazar,1962,7,33.3,25.4,625.0,87.0,4.2,6.7,5.8,21.46,91.98,4,1,Monsoon,Extreme,7.899999999999999,54375.0
Dinajpur,1962,7,36.1,25.5,179.0,84.0,0.2,5.0,4.288,25.63,88.66,37,1,Monsoon,Moderate,10.6,15036.0
Faridpur,1962,7,35.6,26.4,388.0,87.0,1.8,6.3,4.431034483,23.61,89.84,9,1,Monsoon,High,9.200000000000005,33756.0
Khulna,1962,7,32.0,26.0,362.0,89.0,1.6,5.8,3.89,22.8,89.58,4,1,Monsoon,High,6.0,32218.0
Maijdee Court,1962,7,34.4,25.7,848.0,86.0,2.6,6.4,3.575862069,22.83,91.08,6,1,Monsoon,Extreme,8.7,72928.0
Cox's Bazar,1962,8,30.9,25.0,499.0,88.0,3.9,7.0,5.5,21.46,91.98,4,1,Monsoon,High,5.899999999999999,43912.0
Dinajpur,1962,8,35.6,24.7,556.0,86.0,0.2,5.9,5.208,25.63,88.66,37,1,Monsoon,Extreme,10.900000000000002,47816.0
Maijdee Court,1962,8,32.7,25.1,687.0,87.0,2.3,6.8,4.64137931,22.83,91.08,6,1,Monsoon,Extreme,7.600000000000001,59769.0
Rangamati,1962,8,34.1,25.1,530.0,87.0,2.2,6.3,4.744444444,22.67,92.2,63,1,Monsoon,Extreme,9.0,46110.0
Rangpur,1962,8,33.9,25.8,572.0,88.0,1.4,5.8,5.145714286,25.72,89.26,34,1,Monsoon,Extreme,8.099999999999998,50336.0
Satkhira,1962,8,33.4,25.8,327.0,88.0,0.2,6.2,4.373333333,22.68,89.07,6,1,Monsoon,High,7.599999999999998,28776.0
Sylhet,1962,8,33.9,24.7,822.0,89.0,0.6,7.6,3.4,24.88,91.93,35,1,Monsoon,Extreme,9.2,73158.0
Barisal,1962,9,33.8,26.3,333.0,85.0,1.5,5.4,4.823404255,22.7,90.36,4,1,Monsoon,High,7.4999999999999964,28305.0
Dinajpur,1962,9,37.2,24.7,347.0,83.0,0.2,3.6,5.184,25.63,88.66,37,1,Monsoon,High,12.500000000000004,28801.0
Rangamati,1962,9,35.1,25.5,472.0,82.0,1.4,5.7,5.3,22.67,92.2,63,1,Monsoon,High,9.6,38704.0
Dhaka,1962,10,32.5,23.1,180.0,78.0,0.6,3.5,7.0,23.78,90.39,9,0,Post-Monsoon,Moderate,9.4,14040.0
Maijdee Court,1962,10,32.2,23.7,420.0,84.0,1.3,3.5,6.631034483,22.83,91.08,6,1,Post-Monsoon,High,8.500000000000004,35280.0
Dhaka,1962,11,31.1,16.6,0.0,74.0,0.4,0.8,9.9,23.78,90.39,9,0,Post-Monsoon,Low,14.5,0.0
Dhaka,1962,12,28.0,12.2,0.0,74.0,0.7,0.9,9.3,23.78,90.39,9,0,Winter,Low,15.8,0.0
Dhaka,1963,1,28.1,10.6,0.0,67.0,0.5,0.6,9.4,23.78,90.39,9,0,Winter,Low,17.5,0.0
Dhaka,1963,2,33.1,15.2,0.0,56.0,0.8,0.8,9.9,23.78,90.39,9,0,Winter,Low,17.900000000000002,0.0
Cox's Bazar,1963,5,32.7,23.8,617.0,80.0,3.3,5.7,8.0,21.46,91.98,4,1,Pre-Monsoon,Extreme,8.900000000000002,49360.0
Chittagong (IAP-Patenga),1963,6,33.7,25.3,748.0,84.0,4.8,6.9,4.0,22.34,91.79,6,1,Monsoon,Extreme,8.400000000000002,62832.0
Comilla,1963,6,32.2,25.3,414.0,86.0,2.6,5.7,4.927272727,23.48,91.19,10,1,Monsoon,High,6.900000000000002,35604.0
Cox's Bazar,1963,6,36.1,24.8,1027.0,88.0,5.9,7.1,5.3,21.46,91.98,4,1,Monsoon,Extreme,11.3,90376.0
Dinajpur,1963,6,36.1,25.5,246.0,80.0,0.3,4.8,5.228,25.63,88.66,37,1,Monsoon,High,10.6,19680.0
Faridpur,1963,6,35.6,23.6,530.0,87.0,1.2,6.2,5.0,23.61,89.84,9,1,Monsoon,Extreme,12.0,46110.0
Ishurdi,1963,6,35.4,25.6,391.0,86.0,2.7,6.6,5.168965517,24.12,89.04,14,1,Monsoon,High,9.799999999999995,33626.0
Khulna,1963,6,36.1,26.1,535.0,85.0,1.2,6.1,4.546666667,22.8,89.58,4,1,Monsoon,Extreme,10.0,45475.0
Maijdee Court,1963,6,34.4,25.8,520.0,89.0,1.7,6.6,3.872413793,22.83,91.08,6,1,Monsoon,Extreme,8.599999999999998,46280.0
Mymensingh,1963,6,35.4,24.8,518.0,88.0,0.5,6.3,4.02,24.75,90.41,19,1,Monsoon,Extreme,10.599999999999998,45584.0
Rangamati,1963,6,35.9,25.3,773.0,87.0,2.3,6.3,4.381481481,22.67,92.2,63,1,Monsoon,Extreme,10.599999999999998,67251.0
Satkhira,1963,6,37.3,25.9,506.0,84.0,0.8,6.2,4.386666667,22.68,89.07,6,1,Monsoon,Extreme,11.4,42504.0
Sylhet,1963,6,35.8,24.6,810.0,89.0,1.8,6.8,3.9,24.88,91.93,35,1,Monsoon,Extreme,11.199999999999996,72090.0
Barisal,1963,7,32.7,26.2,372.0,87.0,0.7,5.6,3.738297872,22.7,90.36,4,1,Monsoon,High,6.500000000000004,32364.0
Bogra,1963,7,33.9,26.5,457.0,88.0,1.6,6.6,5.3,24.88,89.36,20,1,Monsoon,High,7.399999999999999,40216.0
Chittagong (IAP-Patenga),1963,7,32.2,25.2,970.0,86.0,4.9,7.2,3.1,22.34,91.79,6,1,Monsoon,Extreme,7.000000000000004,83420.0
Comilla,1963,7,31.3,25.3,447.0,87.0,2.6,6.1,4.566666667,23.48,91.19,10,1,Monsoon,High,6.0,38889.0
Cox's Bazar,1963,7,31.6,25.2,1104.0,93.0,6.1,7.4,2.4,21.46,91.98,4,1,Monsoon,Extreme,6.400000000000002,102672.0
Dinajpur,1963,7,35.0,25.9,380.0,86.0,0.3,5.9,4.288,25.63,88.66,37,1,Monsoon,High,9.1,32680.0
Maijdee Court,1963,7,31.5,25.5,583.0,89.0,2.0,6.6,3.575862069,22.83,91.08,6,1,Monsoon,Extreme,6.0,51887.0
Mymensingh,1963,7,33.8,25.9,410.0,91.0,0.5,6.8,3.691428571,24.75,90.41,19,1,Monsoon,High,7.899999999999999,37310.0
Rangamati,1963,7,33.8,25.1,950.0,89.0,2.6,6.1,3.748148148,22.67,92.2,63,1,Monsoon,Extreme,8.699999999999996,84550.0
Rangpur,1963,7,33.3,26.1,566.0,89.0,1.1,5.5,4.348571429,25.72,89.26,34,1,Monsoon,Extreme,7.199999999999996,50374.0
Satkhira,1963,7,36.3,26.3,394.0,87.0,0.5,6.6,3.93,22.68,89.07,6,1,Monsoon,High,9.999999999999996,34278.0
Sylhet,1963,7,35.6,25.4,681.0,89.0,1.4,7.1,4.1,24.88,91.93,35,1,Monsoon,Extreme,10.200000000000005,60609.0
Comilla,1963,8,31.8,25.3,349.0,86.0,2.3,5.8,5.233333333,23.48,91.19,10,1,Monsoon,High,6.5,30014.0
Dinajpur,1963,8,33.3,26.5,287.0,86.0,0.5,5.7,5.208,25.63,88.66,37,1,Monsoon,High,6.799999999999997,24682.0
Maijdee Court,1963,8,32.1,25.6,639.0,88.0,2.2,6.4,4.64137931,22.83,91.08,6,1,Monsoon,Extreme,6.5,56232.0
Sylhet,1963,8,33.4,25.3,557.0,88.0,1.3,6.8,4.5,24.88,91.93,35,1,Monsoon,Extreme,8.099999999999998,49016.0
Cox's Bazar,1963,9,33.3,24.5,403.0,86.0,3.5,6.7,6.1,21.46,91.98,4,1,Monsoon,High,8.799999999999997,34658.0
Dinajpur,1963,9,35.6,25.9,325.0,83.0,0.3,3.2,5.184,25.63,88.66,37,1,Monsoon,High,9.700000000000005,26975.0
Satkhira,1963,9,35.5,25.8,433.0,87.0,0.4,6.6,4.913333333,22.68,89.07,6,1,Monsoon,High,9.7,37671.0
Sylhet,1963,9,34.4,25.0,512.0,85.0,1.2,6.1,6.7,24.88,91.93,35,1,Monsoon,Extreme,9.4,43520.0
Barisal,1963,10,33.4,24.6,385.0,86.0,0.5,3.4,7.0,22.7,90.36,4,1,Post-Monsoon,High,8.799999999999997,33110.0
Dhaka,1963,10,33.2,23.4,182.0,83.0,1.3,4.1,7.4,23.78,90.39,9,0,Post-Monsoon,Moderate,9.800000000000004,15106.0
Dinajpur,1963,10,33.3,22.9,185.0,82.0,0.1,1.7,6.916,25.63,88.66,37,1,Post-Monsoon,Moderate,10.4,15170.0
Maijdee Court,1963,10,33.2,24.2,454.0,85.0,1.3,3.7,6.631034483,22.83,91.08,6,1,Post-Monsoon,High,9.000000000000004,38590.0
Satkhira,1963,10,36.7,24.3,378.0,84.0,0.2,5.1,6.62,22.68,89.07,6,1,Post-Monsoon,High,12.400000000000002,31752.0
Dhaka,1963,11,31.1,17.7,7.0,77.0,0.7,1.4,9.6,23.78,90.39,9,0,Post-Monsoon,Low,13.400000000000002,539.0
Dhaka,1963,12,28.2,13.4,3.0,74.0,0.8,1.6,9.2,23.78,90.39,9,0,Winter,Low,14.8,222.0
